id;item_name;cas_number;stock_book_folio;item_manufacturer;item_capacity;unit_price;total_quantity;minimum_quantity;item_status;created_on;last_updated;sdsfile;sdsfile_content_type;inv_storage_id;storage_unit_id;store_id
54;Arsenic Acid syrapy  75;123-45-67;01-141;NULL;500;410.82;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
55;Asbestos long fiber;123-45-67;01-146;NULL;500;991.98;9;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
56;Barium Chloride;123-45-67;01-149;NULL;500;4787.17;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
57;Barium Chloride;123-45-67;01-149;NULL;3;235.46;14;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
58;Barium Chloride;123-45-67;01-151;NULL;1;156.98;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
59;Barium Hydroxide;123-45-67;01-151;NULL;500;3474.36;12;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
60;Barium Hydroxide;123-45-67;01-156;NULL;3;384.5;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
61;Barium Nitrate;123-45-67;01-156;NULL;1;256.5;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
62;Barium Nitrate;123-45-67;01-161;NULL;3;384.74;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
63;Barium sulphate;123-45-67;01-161;NULL;500;3625;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
64;Bismuth Hydroxide;123-45-67;01-162;NULL;100;9787.63;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
65;Bismuth Hydroxide;123-45-67;01-163;NULL;100;4000;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
66;Bismuth Nitrate;123-45-67;01-171;NULL;500;360.72;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
67;Bismuth Nitrate;123-45-67;01-172;NULL;250;180.36;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
68;Bismuth Oxy Chloride;123-45-67;01-174;NULL;500;465.93;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
69;Bismuth Oxy Chloride;123-45-67;01-175;NULL;100;280.56;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
70;Bismuth Sulphide;123-45-67;01-178;NULL;250;15638.6;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
71;Bismuth Sulphide;123-45-67;01-180;NULL;25;7036.79;6;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
72;Boric Acid Power;123-45-67;01-181;NULL;250;4500.32;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
73;Boric Acid Crystal;123-45-67;01-181;NULL;500;4256.53;6;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
74;Cadmium Chloride Dried;123-45-67;01-182;NULL;250;21001.8;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
75;Cadmium Chloride crystals;123-45-67;01-183;NULL;250;17344.6;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
76;Cadmium iodide ;123-45-67;01-184;NULL;250;10350;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
77;Cadmium Nitrate;123-45-67;01-185;NULL;500;4140;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
78;Cadmium Oxide;123-45-67;01-187;NULL;250;295.58;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
79;Cadmium Sulphate;123-45-67;01-193;NULL;500;57285.2;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
80;Cadmium Sulphide;123-45-67;01-193;NULL;100;207.08;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
81;Cadmium Sulphide;123-45-67;01-196;NULL;250;155.31;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
82;Cerium Fluoride;123-45-67;01-207;NULL;250;69445;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
83;Calcium Acetate;123-45-67;01-207;NULL;500;242.15;9;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
84;Calcium Arsenate;123-45-67;01-211;NULL;500;478.8;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
85;Calcium Arsenite;123-45-67;01-211;NULL;500;385.32;7;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
86;Calcium Bromide AnHydrous;123-45-67;01-213;NULL;500;22837.8;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
87;Calcium Carbonate powder;123-45-67;01-221;NULL;500;9883;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
88;Calcium Carbonate powder;123-45-67;01-227;NULL;3;36444;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
89;Calcium Chloride (fused )powder;123-45-67;01-227;NULL;500;833.75;65;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
90;Calcium Fluoride (PPtd);123-45-67;01-229;NULL;250;1663.07;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
91;Calcium Fluoride (PPtd);123-45-67;01-236;NULL;500;1100;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
92;Calcium Hydroxide;123-45-67;01-236;NULL;500;6099.54;7;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
93;Calcium Hydroxide;123-45-67;01-236;NULL;1;7256.42;19;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
94;Calciuim Hydride;123-45-67;02-09;NULL;500;46587.2;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
95;Calcium Nitrate Anhy.;123-45-67;02-09;NULL;500;2070;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
96;Calcium Oxide 3-6 mesh;123-45-67;02-11;NULL;1;350.7;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
97;Calcium Oxide 3-6 mesh;123-45-67;02-12;NULL;500;233.08;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
98;Calcium Oxide powder;123-45-67;02-13;NULL;3;526.04;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
99;Calcium Sulphate;123-45-67;04-193;NULL;1;14268.1;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
100;Calcium Sulphate;123-45-67;02-14;NULL;3;462.9;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
101;Calcium Sulphate;123-45-67;02-30;NULL;500;257.18;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
102;Cerric Sulphate anhydrous ;123-45-67;02-30;NULL;500;576.15;17;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
103;Cerric Sulphate anhydrous ;123-45-67;02-31;NULL;100;11397.6;8;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
104;Cerous Acetate;123-45-67;02-35;NULL;100;2100;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
105;Cerous Oxalate;123-45-67;02-37;NULL;250;3100;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
106;Cerric Hydroxide;123-45-67;02-37;NULL;250;1400;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
107;Cerous Nitrate;123-45-67;02-39;NULL;100;4140;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
108;Charcoal activated for decolourising;123-45-67;02-41;NULL;1;13772;15;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
109;Chromic Potassium Sulphate;123-45-67;02-41;NULL;500;160.32;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
110;Chromic Potassium Sulphate;123-45-67;02-43;NULL;3;144.28;12;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
111;Chromic Potassium Sulphate;123-45-67;02-43;NULL;3;144.28;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
112;Choromic Chloride;123-45-67;02-48;NULL;500;42509.2;13;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
113;Chromium Tri Oxide;123-45-67;02-48;NULL;500;10260;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
114;Chromium Tri Oxide;123-45-67;02-51;NULL;500;3238.4;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
115;Cobalt Acetate;123-45-67;02-54;NULL;100;10213;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
116;Cobalt Chloride;123-45-67;02-54;NULL;500;16649;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
117;Cobalt Chloride;123-45-67;02-56;NULL;250;1805;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
118;Cobalt Carbanate;123-45-67;02-64;NULL;500;20882.4;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
119;Cobalt Carbanate;123-45-67;02-64;NULL;100;1100;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
120;Cobalt nitrate;123-45-67;02-68;NULL;100;2990;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
121;Cobalt nitrate;123-45-67;02-74;NULL;500;19780;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
122;Cobalt Sulphate;123-45-67;02-80;NULL;500;16930.2;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
123;Cobaltous Carbonate;123-45-67;02-81;NULL;500;8066.1;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
124;Cobaltous Carbonate;123-45-67;02-81;NULL;50;10368.9;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
125;Copper Foil;123-45-67;02-90;NULL;500;1450;2;1;NEW;2020-10-15 18:27:59;2020-11-02 04:24:32;NULL;NULL;1;1;9
126;Copper Turnings;123-45-67;02-95;NULL;500;12971.7;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
127;Copper Turnings;123-45-67;02-97;NULL;100;7699.97;10;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
128;Cuppric Acetate;123-45-67;02-101;NULL;250;2012.5;7;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
129;Cuppric Chloride;123-45-67;02-103;NULL;500;4540.04;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
130;Cupric Magnesium Sulphate;123-45-67;02-106;NULL;250;1350;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
131;Cupric Nitrate;123-45-67;02-112;NULL;500;2;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
132;Cupric Nitrate;123-45-67;02-116;NULL;500;3681.15;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
133;Cupric Sulphate;123-45-67;2.121;NULL;500;2100;11;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
134;Devadar'alloy powder;123-45-67;02-123;NULL;250;11118.6;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
135;Dithiozone;123-45-67;02-125;NULL;25;13297.2;6;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
136;Ferric Benzoate;123-45-67;02-125;NULL;100;27793;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
137;Ferric Chloride Anhydrous;123-45-67;02-129;NULL;500;1039.43;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
138;Ferric Chloride Solution;123-45-67;02-130;NULL;500;1100;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
139;Ferric Oxide Red (PPTD);123-45-67;02-142;NULL;500;960.25;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
140;Ferric Sulphate Powder;123-45-67;02-142;NULL;250;700;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
141;Ferrous Chloride;123-45-67;02-147;NULL;500;2070;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
142;Ferrous Sulphide;123-45-67;02-147;NULL;500;1092.5;21;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
143;Ferrous Sulphate;123-45-67;02-156;NULL;500;1424.7;14;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
144;Ferrous Sulphate;123-45-67;02-156;NULL;1;1100;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
145;Fluro Boric Acid;123-45-67;02-156;NULL;500;21543;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
146;Fluro Silisic Acid;123-45-67;02-158;NULL;500;12191;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
147;Iodine;123-45-67;02-166;NULL;100;7000;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
148;Iodine;123-45-67;02-167;NULL;100;6900;6;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
149;Iron Metal Mesh Powder;123-45-67;02-172;NULL;1;1150;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
150;Iron Metal Mesh Powder;123-45-67;02-176;NULL;500;2415;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
151;Lead Acetate Crystal;123-45-67;02-178;NULL;500;22933.8;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
152;Lead Acetate Crystal;123-45-67;02-178;NULL;3;46292;6;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
153;Lead Acetate Crystal;123-45-67;02-181;NULL;1;32767.3;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
154;Lead Acetate ;123-45-67;02-193;NULL;1;514.36;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
155;Lead Chloride;123-45-67;2-196;NULL;500;202.06;7;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
156;Lead Chromate Fuse Powder;123-45-67;02-200;NULL;500;360.72;7;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
157;Lead Dioxide;123-45-67;02-203;NULL;500;26441;6;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
158;Lead Nitrate;123-45-67;02-211;NULL;500;163.66;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
159;Lead Ortho phosphate;123-45-67;02-224;NULL;250;152.5;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
160;Lead Ortho phosphate;123-45-67;02-226;NULL;500;9408.82;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
161;Lead Oxide Red Lead;123-45-67;02-234;NULL;500;100.2;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
162;Lead Sulphate;123-45-67;02-234;NULL;500;2849.4;9;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
163;Lithium Fluoride;123-45-67;02-234;NULL;500;33400;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
164;Magnesium Metal Ribbon;123-45-67;02-240;NULL;25;3542.75;32;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
165;Magnesium Acetate Hydrated;123-45-67;02-245;NULL;500;2374.5;6;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
166;Magnesium Chloride;123-45-67;02-249;NULL;500;1700;7;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
167;Magnesium nitrate;123-45-67;03-03;NULL;500;2434.33;6;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
168;Magnesium Oxide Heavy;123-45-67;03-05;NULL;250;155.96;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
169;Magnesium Sulphate;123-45-67;03-10;NULL;500;270.54;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
170;Magnesium Sulphate;123-45-67;03-14;NULL;1;711.42;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
171;Magnesium Sulphate;123-45-67;03-17;NULL;3;532.73;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
172;Manganese Acetate;123-45-67;03-18;NULL;500;2500;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
173;Manganese Chloride;123-45-67;03-20;NULL;500;2808;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
174;Maganese Di-Oxide tech powder;123-45-67;03-20;NULL;500;2586;10;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
175;Manganense nitrate 50%;123-45-67;03-22;NULL;500;240.48;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
176;Manganese Sulphate;123-45-67;03-24;NULL;500;1250;10;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
177;Manganous Carbonate;123-45-67;03-24;NULL;500;1150;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
178;Mercuric Ammonium Choloride;123-45-67;03-25;NULL;100;288.8;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
179;Mercuric Bromide;123-45-67;03-25;NULL;100;15319;4;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
180;Mercuric Chloride Powder ;123-45-67;03-25;NULL;500;25788.9;5;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
181;Mercuric Iodide Red;123-45-67;03-27;NULL;100;24828;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
182;Mercuric Iodide Red;123-45-67;03-27;NULL;250;24973;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
183;Mercuric Nitrate;123-45-67;03-30;NULL;25;10705;11;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
184;Mercuric Oxid (Red Crystals);123-45-67;03-30;NULL;250;3885;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
185;Mercuric Oxid (Red Crystals);123-45-67;03-33;NULL;100;2590;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
186;Mercuric Oxide ( Yellow);123-45-67;03-37;NULL;250;13362;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
187;Mercuric Oxide ( Yellow);123-45-67;03-39;NULL;100;9419.91;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
188;Mercuric Oxide ( Yellow);123-45-67;03-40;NULL;50;928.26;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
189;Mercuric Sulphate;123-45-67;03-41;NULL;250;4132.65;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
190;Mercuric Sulphate;123-45-67;03-43;NULL;25;12836;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
191;Mercurous Chloride;123-45-67;03-45;NULL;250;23394.9;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
192;Mercurous Chloride;123-45-67;03-46;NULL;100;15596;2;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
193;Mercurouse Nitrate;123-45-67;03-49;NULL;100;16245;11;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
194;Mercurous Sulphate;123-45-67;03-49;NULL;250;1300;3;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
195;Meta Boric Acid;123-45-67;03-55;NULL;500;6847.98;8;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
196;Meta Stannic Acid;123-45-67;03-73;NULL;250;1118.28;1;1;NEW;2020-10-15 18:27:59;;NULL;NULL;1;1;9
